ID,Temperatura,Humedad,Viento,Focos
1,36.4,83,8.5,1
2,25.1,70,5.4,0
3,31.8,83,10.3,1
4,29.2,77,5.9,1
5,28,92,16.5,0
6,24.6,90,0.4,0
7,30,83,2.5,0
8,27.5,88,8.6,0
9,28.7,83,4.9,1
10,27.6,87,6.9,1
11,26.9,84,10.5,1
12,23.4,83,6.3,1
13,29.3,93,8.8,0
14,25.5,97,3.6,0
15,30.4,91,6,0
